"","Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"1","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"2","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2025,116.951860509,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"3","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2030,253.84218482175,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"4","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2035,407.95303429975,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"5","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2040,577.906011254,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"6","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2045,767.09572484125,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"7","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2050,976.612767212,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"8","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2055,1202.05352412425,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"9","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2060,1443.41682448825,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"10","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2065,1699.0776225528,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"11","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2070,1969.53023776425,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"12","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2075,2253.59655433937,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"13","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2080,2552.04979094762,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"14","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2085,2864.01905631465,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"15","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2090,3187.35310322409,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"16","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2095,3520.97853784132,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"17","Mt","01272026_His_constrSupply_BR_SS_noTC","copper",2100,3865.56713170969,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"18","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"19","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2025,0.7647744945,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"20","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2030,2.23357497075,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"21","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2035,4.367967925,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"22","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2040,6.87860907291,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"23","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2045,9.9192330233775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"24","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2050,13.38182701641,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"25","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2055,17.2154627031075,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"26","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2060,21.45304478714,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"27","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2065,25.9828413378025,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"28","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2070,30.8093426836025,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"29","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2075,35.9508282053775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"30","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2080,41.4522108966525,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"31","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2085,47.3421943681775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"32","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2090,53.5257865367775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"33","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2095,59.9662813962425,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"34","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2100,66.636851005523,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"35","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"36","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2025,14.9681752795,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
