"scenario","resource","year","value","lead_times","supply_factor","supply_lead_combined","Units"
"01272026_His_constrSupply_BR_SS_noTC","copper",1975,20.018014268371,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",1990,9.32972113681658,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2005,14.9585702290667,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2010,16.0922717462195,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2015,19.2826897038173,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2021,21.6903007206488,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2025,22.9127719674414,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2030,26.8227708808117,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2035,30.0175838408702,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2040,33.0911934745222,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2045,36.7362601387585,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2050,40.2747174809872,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2055,42.9171999199847,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2060,46.3725838342989,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2065,49.3952948181655,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2070,52.5197821953011,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2075,55.3419056997273,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2080,58.3641631008584,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2085,60.8304103695284,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2090,63.2803527064518,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2095,65.5359200300851,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","copper",2100,67.7359443089219,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",1975,0.009775007051513,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
