sector,subsector,technology,sector0
H2 central production,biomass,biomass to H2,H2 production
H2 central production,electricity,electrolysis,H2 production
H2 central production,gas,natural gas steam reforming,H2 production
H2 central production,nuclear,electrolysis,H2 production
H2 central production,solar,electrolysis,H2 production
H2 central production,wind,electrolysis,H2 production
H2 industrial,onsite production,electrolysis,H2 production
H2 wholesale dispensing,forecourt production,electrolysis,H2 production
H2 wholesale dispensing,forecourt production,natural gas steam reforming,H2 production
comm materials,hotels commercial,hotels commercial,Buildings
comm materials,office commercial,office commercial,Buildings
comm materials,others commercial,others commercial,Buildings
comm materials,retail commercial,retail commercial,Buildings
copper_other,copper_other,copper_other,Other
elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid),Electricity generation
elec_CSP_storage,CSP_storage,CSP_storage (recirculating),Electricity generation
elec_Gen_III,Gen_III,Gen_III (once through),Electricity generation
elec_Gen_III,Gen_III,Gen_III (recirculating),Electricity generation
elec_Gen_III,Gen_III,Gen_III (seawater),Electricity generation
elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling),Electricity generation
elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through),Electricity generation
elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating),Electricity generation
elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater),Electricity generation
elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling),Electricity generation
elec_biomass (conv),biomass (conv),biomass (conv) (once through),Electricity generation
elec_biomass (conv),biomass (conv),biomass (conv) (recirculating),Electricity generation
elec_biomass (conv),biomass (conv),biomass (conv) (seawater),Electricity generation
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),Electricity generation
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),Electricity generation
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),Electricity generation
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),Electricity generation
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),Electricity generation
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),Electricity generation
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),Electricity generation
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),Electricity generation
elec_gas (CC),gas (CC),gas (CC) (dry cooling),Electricity generation
elec_gas (CC),gas (CC),gas (CC) (once through),Electricity generation
elec_gas (CC),gas (CC),gas (CC) (recirculating),Electricity generation
elec_gas (CC),gas (CC),gas (CC) (seawater),Electricity generation
elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (dry cooling),Electricity generation
elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (once through),Electricity generation
elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (recirculating),Electricity generation
elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (seawater),Electricity generation
elec_geothermal,geothermal,geothermal (dry_hybrid),Electricity generation
elec_geothermal,geothermal,geothermal (recirculating),Electricity generation
elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (dry cooling),Electricity generation
elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (once through),Electricity generation
elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (recirculating),Electricity generation
elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (seawater),Electricity generation
elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (dry cooling),Electricity generation
elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (once through),Electricity generation
elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (recirculating),Electricity generation
elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (seawater),Electricity generation
elect_td_bld,elect_td_bld,elect_td_bld,Electricity T&D
elect_td_ind,elect_td_ind,elect_td_ind,Electricity T&D
elect_td_trn,elect_td_trn,elect_td_trn,Electricity T&D
