resource,technology,stage_average,stage_shortLT,stage_average_OLD,stage_shortLT_OLD
copper,2021,Economic reserves associated with operating mines,Economic reserves associated with operating mines,Reserves: Operating,Reserves: Operating
copper,2025,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Under construction,Reserves: Feasibility study
copper,2030,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Feasibility study,Reserves: Late stages scoping
copper,2035,Economic reserves associated with projects under development,Physical resources not associated with any mining project,Reserves: Early stages scoping,Resources
copper,2040,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2045,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2050,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2055,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2060,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2065,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2070,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2075,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2080,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2085,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2090,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2095,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
copper,2100,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2021,Economic reserves associated with operating mines,Economic reserves associated with operating mines,Reserves: Operating,Reserves: Operating
lithium,2025,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Feasibility study,Reserves: Feasibility study
lithium,2030,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Late stages scoping,Reserves: Early stages scoping
lithium,2035,Economic reserves associated with projects under development,Physical resources not associated with any mining project,Reserves: Early stages scoping,Resources
lithium,2040,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2045,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2050,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2055,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2060,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2065,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2070,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2075,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2080,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2085,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2090,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2095,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
lithium,2100,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2021,Economic reserves associated with operating mines,Economic reserves associated with operating mines,Reserves: Operating,Reserves: Operating
nickel,2025,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Under construction,Reserves: Under construction
nickel,2030,Economic reserves associated with projects under development,Economic reserves associated with projects under development,Reserves: Feasibility study,Reserves: Late stages scoping
nickel,2035,Economic reserves associated with projects under development,Physical resources not associated with any mining project,Reserves: Late stages scoping,Resources
nickel,2040,Economic reserves associated with operating mines,Physical resources not associated with any mining project,Reserves: Early stages scoping,Resources
nickel,2045,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2050,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2055,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2060,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2065,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2070,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2075,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2080,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2085,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2090,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2095,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
nickel,2100,Physical resources not associated with any mining project,Physical resources not associated with any mining project,Resources,Resources
